,name,cmc,legalities,reprint,set,set_type,rarity,prices
0,Abandon Reason,3.0,legal,False,emn,expansion,uncommon,0.13
1,Abandoned Sarcophagus,3.0,legal,True,c20,commander,rare,0.07
2,Abbot of Keral Keep,2.0,legal,False,ori,core,rare,0.56
3,Aberrant Researcher // Perfected Form,4.0,legal,False,soi,expansion,uncommon,0.09
4,Abhorrent Overlord,7.0,legal,False,ths,expansion,rare,0.37
5,Abnormal Endurance,2.0,legal,False,m19,core,common,0.12
6,Voldaren Pariah // Abolisher of Bloodlines,5.0,legal,False,emn,expansion,rare,1.17
7,Abomination of Gudul,6.0,legal,False,ktk,expansion,common,0.06
8,Abrade,2.0,legal,True,vow,expansion,common,0.19
9,Abrupt Decay,2.0,legal,True,mm3,masters,rare,4.54
10,Absorb,3.0,legal,True,rna,expansion,rare,0.79
11,Abstruse Interference,3.0,legal,False,ogw,expansion,common,0.02
12,Abundant Maw,8.0,legal,False,emn,expansion,uncommon,0.10
13,Abzan Advantage,2.0,legal,False,frf,expansion,common,0.03
14,Abzan Ascendancy,3.0,legal,True,c20,commander,rare,0.14
15,Abzan Banner,3.0,legal,False,ktk,expansion,common,0.09
16,Abzan Battle Priest,4.0,legal,True,ima,masters,uncommon,0.34
17,Abzan Beastmaster,3.0,legal,False,frf,expansion,uncommon,0.23
18,Abzan Charm,3.0,legal,True,c20,commander,uncommon,0.16
19,Abzan Falconer,3.0,legal,True,mic,commander,uncommon,0.14
20,Abzan Guide,6.0,legal,False,ktk,expansion,common,0.05
21,Abzan Kin-Guard,4.0,legal,False,frf,expansion,uncommon,0.02
22,Abzan Runemark,3.0,legal,False,frf,expansion,common,0.03
23,Abzan Skycaptain,4.0,legal,False,frf,expansion,common,0.03
24,Academy Drake,3.0,legal,False,dom,expansion,common,0.01
25,Academy Journeymage,5.0,legal,False,dom,expansion,common,0.03
26,Academy Raider,3.0,legal,False,m14,core,common,0.10
27,Acclaimed Contender,3.0,legal,False,eld,expansion,rare,0.13
28,Accomplished Automaton,7.0,legal,True,2xm,masters,common,0.01
29,Accorder's Shield,0.0,legal,True,m14,core,uncommon,0.16
30,Accursed Horde,4.0,legal,True,gn2,box,uncommon,0.11
31,Accursed Spirit,4.0,legal,True,m15,core,common,0.01
32,Accursed Witch // Infectious Curse,4.0,legal,False,soi,expansion,uncommon,0.27
33,Acid-Spewer Dragon,6.0,legal,False,dtk,expansion,uncommon,0.17
34,Acolyte of Affliction,4.0,legal,False,thb,expansion,uncommon,0.05
35,Acolyte of the Inferno,3.0,legal,False,ori,core,uncommon,0.05
36,Acolyte's Reward,2.0,legal,False,bng,expansion,uncommon,0.09
37,Acrobatic Maneuver,3.0,legal,False,kld,expansion,common,0.11
38,Act of Heroism,2.0,legal,True,a25,masters,common,0.05
39,Act of Treason,3.0,legal,True,jmp,draft_innovation,common,0.02
40,Act on Impulse,3.0,legal,False,m15,core,uncommon,0.14
41,Adamant Will,2.0,legal,True,vow,expansion,common,0.01
42,Adanto Vanguard,2.0,legal,False,xln,expansion,uncommon,0.20
43,"Legion's Landing // Adanto, the First Fort",1.0,legal,False,xln,expansion,rare,3.68
44,Adaptive Snapjaw,5.0,legal,False,gtc,expansion,common,0.01
45,"Adeliz, the Cinder Wind",3.0,legal,False,dom,expansion,uncommon,0.21
46,Admiral Beckett Brass,4.0,legal,False,xln,expansion,mythic,2.95
47,Admiral's Order,3.0,legal,False,rix,expansion,rare,0.33
48,Adorned Pouncer,2.0,legal,False,hou,expansion,rare,0.77
49,Advanced Stitchwing,5.0,legal,True,gnt,box,uncommon,0.15
50,Advent of the Wurm,4.0,legal,True,mm3,masters,rare,0.24
51,Adventurous Impulse,1.0,legal,True,iko,expansion,common,0.01
52,Adverse Conditions,4.0,legal,False,bfz,expansion,uncommon,0.07
53,Advocate of the Beast,3.0,legal,False,m14,core,common,0.07
54,Aegis Angel,6.0,legal,True,e01,archenemy,rare,0.30
55,Aegis Automaton,2.0,legal,False,aer,expansion,common,0.03
56,Aegis of the Gods,2.0,legal,False,jou,expansion,rare,1.44
57,Aegis of the Heavens,2.0,legal,True,jmp,draft_innovation,uncommon,0.10
58,Aerial Assault,3.0,legal,True,jmp,draft_innovation,common,0.02
59,Aerial Engineer,4.0,legal,False,m19,core,uncommon,0.01
60,Aerial Formation,1.0,legal,False,jou,expansion,common,0.03
61,Aerial Guide,3.0,legal,False,hou,expansion,common,0.01
62,Aerial Maneuver,2.0,legal,False,gtc,expansion,common,0.01
63,Aerial Modification,5.0,legal,False,aer,expansion,uncommon,0.12
64,Aerial Predation,3.0,legal,True,ima,masters,common,0.03
65,Aerial Responder,3.0,legal,True,c20,commander,uncommon,0.11
66,Aerial Volley,1.0,legal,False,ori,core,common,0.04
67,Aerie Bowmasters,4.0,legal,False,dtk,expansion,common,0.05
68,Aerie Worshippers,4.0,legal,False,bng,expansion,uncommon,0.07
69,Aeromunculus,3.0,legal,False,rna,expansion,common,0.02
70,Aeronaut Admiral,4.0,legal,True,nec,commander,uncommon,0.22
71,Aeronaut Tinkerer,3.0,legal,False,m15,core,common,0.04
72,Aesthir Glider,3.0,legal,True,dom,expansion,common,0.01
73,Aether Chaser,2.0,legal,False,aer,expansion,common,0.05
74,Aether Gust,2.0,legal,False,m20,core,uncommon,0.24
75,Aether Herder,4.0,legal,False,aer,expansion,common,0.05
76,Aether Hub,0.0,legal,False,kld,expansion,uncommon,0.15
77,Aether Inspector,4.0,legal,False,aer,expansion,common,0.02
78,Aether Meltdown,2.0,legal,False,kld,expansion,uncommon,0.07
79,Aether Poisoner,2.0,legal,False,aer,expansion,common,0.07
80,Aether Swooper,2.0,legal,False,aer,expansion,common,0.04
81,Aether Theorist,2.0,legal,False,kld,expansion,common,0.03
82,Aether Tradewinds,3.0,legal,True,kld,expansion,common,0.04
83,Aether Tunnel,2.0,legal,False,m19,core,uncommon,0.25
84,Aetherborn Marauder,4.0,legal,False,kld,expansion,uncommon,0.08
85,Aetherflux Reservoir,4.0,legal,False,kld,expansion,rare,15.65
86,Aethergeode Miner,2.0,legal,False,aer,expansion,rare,0.10
87,Aetherize,4.0,legal,True,znc,commander,uncommon,0.88
88,Aetherling,6.0,legal,False,dgm,expansion,rare,0.21
89,Aethershield Artificer,4.0,legal,False,m19,core,uncommon,0.10
90,Aethersphere Harvester,3.0,legal,False,aer,expansion,rare,0.47
91,Aetherspouts,5.0,legal,True,mic,commander,rare,0.24
92,Aethersquall Ancient,7.0,legal,False,kld,expansion,rare,0.15
93,Aetherstorm Roc,4.0,legal,False,kld,expansion,rare,0.12
94,Aetherstream Leopard,3.0,legal,False,aer,expansion,common,0.04
95,Aethertide Whale,6.0,legal,False,aer,expansion,rare,0.11
96,Aethertorch Renegade,3.0,legal,False,kld,expansion,uncommon,0.04
97,Aetherwind Basker,7.0,legal,False,aer,expansion,mythic,0.57
98,Aetherworks Marvel,4.0,legal,False,kld,expansion,mythic,1.46
99,Affa Protector,3.0,legal,False,ogw,expansion,common,0.01
100,Affectionate Indrik,6.0,legal,True,jmp,draft_innovation,uncommon,0.02
101,Agent of Erebos,4.0,legal,False,jou,expansion,uncommon,0.44
102,Agent of Horizons,3.0,legal,False,ths,expansion,common,0.01
103,Agent of Treachery,7.0,legal,False,m20,core,rare,8.16
104,Agent of the Fates,3.0,legal,False,ths,expansion,rare,0.27
105,Aggressive Mammoth,6.0,legal,True,m20,core,rare,0.65
106,Aggressive Mining,4.0,legal,False,m15,core,rare,0.26
107,Aggressive Urge,2.0,legal,True,jmp,draft_innovation,common,0.02
108,Agonizing Remorse,2.0,legal,False,thb,expansion,uncommon,0.02
109,Agonizing Syphon,4.0,legal,True,jmp,draft_innovation,common,0.02
110,Agoraphobia,2.0,legal,True,ddm,duel_deck,uncommon,0.05
111,Ahn-Crop Champion,4.0,legal,False,akh,expansion,uncommon,0.06
112,Ahn-Crop Crasher,3.0,legal,False,akh,expansion,uncommon,0.09
113,Ahn-Crop Invader,3.0,legal,False,war,expansion,common,0.01
114,Aid from the Cowl,5.0,legal,False,aer,expansion,rare,0.25
115,Aid the Fallen,2.0,legal,False,war,expansion,common,0.04
116,Aim High,2.0,legal,True,bbd,draft_innovation,uncommon,0.08
117,Ainok Artillerist,3.0,legal,False,dtk,expansion,common,0.03
118,Ainok Bond-Kin,2.0,legal,True,mic,commander,common,0.10
119,Ainok Guide,2.0,legal,False,frf,expansion,common,0.05
120,Ainok Survivalist,2.0,legal,True,c19,commander,common,0.07
121,Ainok Tracker,6.0,legal,False,ktk,expansion,common,0.01
122,Air Elemental,5.0,legal,True,m20,core,uncommon,0.03
123,Air Servant,5.0,legal,True,w16,starter,uncommon,0.07
124,Airdrop Aeronauts,5.0,legal,False,aer,expansion,uncommon,0.04
125,Ajani Steadfast,4.0,legal,False,m15,core,mythic,6.93
126,Ajani Unyielding,6.0,legal,True,c20,commander,mythic,0.88
127,Ajani's Aid,4.0,legal,False,aer,expansion,rare,0.09
128,Ajani's Chosen,4.0,legal,True,jmp,draft_innovation,rare,0.33
129,Ajani's Comrade,2.0,legal,False,aer,expansion,uncommon,0.21
130,Ajani's Influence,4.0,legal,False,m19,core,rare,0.40
131,Ajani's Last Stand,4.0,legal,False,m19,core,rare,0.10
132,Ajani's Presence,1.0,legal,False,jou,expansion,common,0.21
133,Ajani's Pridemate,2.0,legal,True,war,expansion,uncommon,0.22
134,Ajani's Welcome,1.0,legal,False,m19,core,uncommon,1.54
135,"Ajani, Adversary of Tyrants",4.0,legal,False,m19,core,mythic,4.08
136,"Ajani, Caller of the Pride",3.0,legal,True,m14,core,mythic,4.28
137,"Ajani, Inspiring Leader",6.0,legal,False,m20,core,mythic,
138,"Ajani, Mentor of Heroes",5.0,legal,False,jou,expansion,mythic,11.88
